matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
Unknown 19:00,Uerdingen,Hansa Rostock,3.48,3.23,2.16,0-1,2020-2021
08 Mar 2021 19:00,Ingolstadt,Turkgucu Munchen,1.61,3.88,5.59,2-1,2020-2021
07 Mar 2021 14:00,Bayern II,Wehen,2.81,3.45,2.41,2-0,2020-2021
Unknown 13:00,Unterhaching,Hallescher,2.56,3.22,2.79,3-0,2020-2021
06 Mar 2021 14:00,Duisburg,Munich 1860,3.74,3.51,1.99,1-0,2020-2021
Unknown 14:00,Hansa Rostock,Kaiserslautern,2.03,3.5,3.65,2-1,2020-2021
Unknown 14:00,Lubeck,Viktoria Koln,2.72,3.35,2.56,1-2,2020-2021
Unknown 14:00,Magdeburg,Mannheim,2.66,3.34,2.63,1-1,2020-2021
Unknown 14:00,Meppen,SG Dynamo Dresden,3.5,3.46,2.07,0-4,2020-2021
Unknown 14:00,Saarbrucken,Uerdingen,2.2,3.22,3.42,2-2,2020-2021
05 Mar 2021 19:00,Zwickau,Verl,3.12,3.24,2.35,3-0,2020-2021
03 Mar 2021 17:00,Lubeck,Hansa Rostock,4.03,3.51,1.9,1-0,2020-2021
Unknown 17:00,Saarbrucken,Duisburg,2.03,3.6,3.47,4-1,2020-2021
Unknown 17:00,Uerdingen,Ingolstadt,3.7,3.46,2.05,0-3,2020-2021
02 Mar 2021 17:00,Viktoria Koln,Magdeburg,2.25,3.39,3.16,2-4,2020-2021
01 Mar 2021 19:00,Mannheim,Bayern II,2.44,3.35,2.86,2-2,2020-2021
28 Feb 2021 14:00,Uerdingen,Duisburg,2.25,3.4,3.15,1-2,2020-2021
Unknown 13:00,Turkgucu Munchen,Zwickau,2.3,3.27,3.16,1-1,2020-2021
27 Feb 2021 14:00,SG Dynamo Dresden,Ingolstadt,2.93,3.07,2.56,4-0,2020-2021
Unknown 14:00,Viktoria Koln,Hansa Rostock,3.32,3.39,2.16,1-2,2020-2021
Unknown 14:00,Hallescher,Lubeck,2.15,3.37,3.4,2-1,2020-2021
Unknown 14:00,Kaiserslautern,Meppen,1.9,3.47,4.15,2-2,2020-2021
Unknown 14:00,Verl,Saarbrucken,2.1,3.5,3.4,1-3,2020-2021
Unknown 14:00,Wehen,Magdeburg,1.65,4.11,4.94,1-0,2020-2021
26 Feb 2021 19:00,Munich 1860,Unterhaching,1.77,3.73,4.52,3-1,2020-2021
24 Feb 2021 19:00,SG Dynamo Dresden,Bayern II,1.99,3.57,3.66,1-1,2020-2021
22 Feb 2021 19:00,Wehen,Uerdingen,2.11,3.33,3.53,3-1,2020-2021
21 Feb 2021 14:00,Magdeburg,Verl,3.22,3.41,2.18,0-4,2020-2021
Unknown 13:00,Bayern II,Viktoria Koln,2.12,3.52,3.29,0-1,2020-2021
20 Feb 2021 14:00,Duisburg,Unterhaching,2.38,3.37,2.88,2-1,2020-2021
Unknown 14:00,Hansa Rostock,Mannheim,2.14,3.24,3.53,1-0,2020-2021
Unknown 14:00,Ingolstadt,Kaiserslautern,1.96,3.29,4.04,1-0,2020-2021
Unknown 14:00,Lubeck,Turkgucu Munchen,2.4,3.22,3.0,0-2,2020-2021
Unknown 14:00,Saarbrucken,Munich 1860,3.33,3.33,2.19,2-1,2020-2021
Unknown 14:00,Zwickau,SG Dynamo Dresden,3.07,3.12,2.41,0-2,2020-2021
19 Feb 2021 19:00,Meppen,Hallescher,2.87,3.33,2.44,2-1,2020-2021
