match_id,season,matchday,match_datetime,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,venue,attendance,home_elo,home_pi,home_points_l5,home_points_l10,home_goals_scored_l5,home_goals_conceded_l5,away_elo,away_pi,away_points_l5,away_points_l10,away_goals_scored_l5,away_goals_conceded_l5,odds_home,odds_draw,odds_away,implied_prob_home,implied_prob_draw,implied_prob_away,post_home_possession,post_home_shots,post_home_shots_on_target,post_home_big_chances,post_home_passes,post_home_pass_accuracy,post_home_tackles,post_home_interceptions,post_home_fouls,post_home_corners,post_home_yellow_cards,post_home_red_cards,post_away_possession,post_away_shots,post_away_shots_on_target,post_away_big_chances,post_away_passes,post_away_pass_accuracy,post_away_tackles,post_away_interceptions,post_away_fouls,post_away_corners,post_away_yellow_cards,post_away_red_cards,temperature_celsius,humidity_percent,wind_speed_kmh,precipitation_mm,rest_days_home,rest_days_away,travel_distance_km,home_prev_season_position,home_prev_season_points,home_prev_season_wins,home_prev_season_goal_diff,away_prev_season_position,away_prev_season_points,away_prev_season_wins,away_prev_season_goal_diff,h2h_total_matches,h2h_home_wins,h2h_draws,h2h_away_wins,elo_diff,pi_diff,form_diff_l5,goal_diff_l5,prev_season_position_diff,prev_season_points_diff,home_was_top_tier,home_was_bottom_tier,away_was_top_tier,away_was_bottom_tier,home_is_new_team,away_is_new_team,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_match_count,rest_days_diff,home_rest_advantage,away_rest_advantage,home_rest_category,away_rest_category,day_of_week,month,year,is_midweek,is_hot,is_cold,is_rainy,is_heavy_rain,is_windy,is_extreme_weather,is_home,target_home_win,target_draw,target_away_win,target_multiclass,target_home_goals,target_away_goals,target_total_goals,has_detailed_stats,has_odds,has_ratings,has_weather
20,2009-2010,2,2009-07-29 19:00:00,Holstein Kiel,Wacker Burghausen,2,15,0,1,A,Holstein-Stadion ,6016.0,1484.0,0.0,0.0,0.0,0.0,2.0,1516.0,1.0,3.0,3.0,4.0,3.0,1.74,3.53,4.68,0.5747126436781609,0.28328611898017,0.2136752136752137,,,,,,,,,,,,,,,,,,,,,,,,,20.6,61.0,12.2,0.0,4.0,4.0,711.385146282859,,,,,,,,,0,0,0,0,-32.0,-1.0,-3.0,-3.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,2,7,2009,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
21,2009-2010,3,2009-08-07 19:00:00,Werder Bremen II,Borussia Dortmund II,11,16,1,0,H,Weserstadion - Platz 11,1000.0,1483.263693206478,0.08964714045666504,1.0,1.0,0.0,0.5,1485.4695015289756,0.2436861928766683,1.0,1.0,1.5,2.0,2.14,3.36,3.26,0.4672897196261682,0.2976190476190476,0.3067484662576687,,,,,,,,,,,,,,,,,,,,,,,,,24.6,52.0,7.8,0.0,10.0,10.0,201.2670678812775,,,,,,,,,0,0,0,0,-2.20580832249766,-0.15403905242000326,0.0,0.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,long,long,4,8,2009,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,1,1
22,2009-2010,3,2009-08-08 14:00:00,Jahn Regensburg,Wacker Burghausen,1,15,0,0,D,Jahnstadion,5500.0,1515.263693206478,0.5126276142466634,4.0,4.0,2.0,1.0,1530.5304984710244,1.0,6.0,6.0,2.5,1.5,2.07,3.29,3.39,0.48309178743961356,0.303951367781155,0.2949852507374631,,,,,,,,,,,,,,,,,,,,,,,,,25.6,44.0,11.6,0.0,9.0,9.0,104.804342623839,,,,,,,,,0,0,0,0,-15.26680526454652,-0.48737238575333663,-2.0,0.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,long,long,5,8,2009,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
23,2009-2010,3,2009-08-08 14:00:00,Wuppertaler SV,VfB Stuttgart II,18,4,0,3,A,Stadion am Zoo ,3494.0,1500.736306793522,0.3333333333333333,2.0,2.0,2.0,2.0,1515.263693206478,0.5126276142466634,4.0,4.0,1.0,0.5,2.25,3.25,2.99,0.4444444444444444,0.3076923076923077,0.33444816053511706,,,,,,,,,,,,,,,,,,,,,,,,,19.4,81.0,10.7,0.3,9.0,9.0,,,,,,,,,,0,0,0,0,-14.52738641295582,-0.17929428091333005,-2.0,-0.5,,,0,0,0,0,1,1,,,,0,0.0,0,0,long,long,5,8,2009,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,0,1,1,1
24,2009-2010,3,2009-08-08 14:00:00,Eintracht Braunschweig,Holstein Kiel,13,2,2,1,H,,,1514.5304984710244,0.5126276142466634,4.0,4.0,0.5,0.0,1469.4695015289756,0.0,0.0,0.0,0.0,1.5,2.04,3.25,3.61,0.49019607843137253,0.3076923076923077,0.2770083102493075,,,,,,,,,,,,,,,,,,,,,,,,,27.0,43.0,5.5,0.0,10.0,9.0,230.7467146681117,,,,,,,,,0,0,0,0,45.06099694204886,0.5126276142466634,4.0,2.0,,,0,0,0,0,1,1,,,,0,1.0,1,0,long,long,5,8,2009,0,1,0,0,0,0,0,1,1,0,0,2,2,1,3,0,1,1,1
25,2009-2010,3,2009-08-08 14:00:00,Kickers Offenbach,VfL Osnabrück,9,14,2,0,H,Bieberer Berg ,7080.0,1516.0,0.82070571908667,4.0,4.0,1.0,0.0,1500.736306793522,0.7310585786300049,3.0,3.0,0.5,0.5,2.11,3.24,3.26,0.47393364928909953,0.30864197530864196,0.3067484662576687,,,,,,,,,,,,,,,,,,,,,,,,,27.4,46.0,10.0,0.0,9.0,10.0,246.95183382505707,,,,,,,,,0,0,0,0,15.26369320647791,0.08964714045666511,1.0,1.0,,,0,0,0,0,1,1,,,,0,-1.0,0,1,long,long,5,8,2009,0,1,0,0,0,0,0,1,1,0,0,2,2,0,2,0,1,1,1
26,2009-2010,3,2009-08-08 14:00:00,FC Ingolstadt 04,FC Rot-Weiß Erfurt,19,12,5,0,H,TUJA-Stadion ,2400.0,1499.263693206478,0.2689414213699951,3.0,3.0,1.0,0.5,1484.0,0.08964714045666504,1.0,1.0,0.0,1.0,1.72,3.5,4.51,0.5813953488372093,0.2857142857142857,0.22172949002217296,,,,,,,,,,,,,,,,,,,,,,,,,26.0,43.0,11.8,0.0,10.0,9.0,,,,,,,,,,0,0,0,0,15.26369320647791,0.17929428091333005,2.0,1.5,,,0,0,0,0,1,1,,,,0,1.0,1,0,long,long,5,8,2009,0,1,0,0,0,0,0,1,1,0,0,2,5,0,5,0,1,1,1
27,2009-2010,3,2009-08-08 14:00:00,Dynamo Dresden,SV Sandhausen,3,8,0,3,A,Rudolf Harbig Stadion,9891.0,1500.0,0.7310585786300049,3.0,3.0,0.5,0.5,1500.736306793522,0.3333333333333333,2.0,2.0,2.5,2.5,2.03,3.4,3.49,0.4926108374384237,0.29411764705882354,0.28653295128939826,,,,,,,,,,,,,,,,,,,,,,,,,26.3,38.0,11.3,0.0,10.0,9.0,409.611545713853,,,,,,,,,0,0,0,0,-0.7363067935220897,0.3977252452966716,1.0,0.0,,,0,0,0,0,1,1,,,,0,1.0,1,0,long,long,5,8,2009,0,1,0,0,0,0,0,1,0,0,1,0,0,3,3,0,1,1,1
28,2009-2010,3,2009-08-08 14:00:00,1. FC Heidenheim 1846,SV Wehen Wiesbaden,17,6,0,2,A,Albstadion ,4320.0,1500.736306793522,0.3333333333333333,2.0,2.0,1.5,1.5,1468.0,0.0,0.0,0.0,0.5,1.5,2.76,3.3,2.39,0.3623188405797102,0.30303030303030304,0.41841004184100417,,,,,,,,,,,,,,,,,,,,,,,,,24.5,46.0,9.9,0.0,9.0,10.0,207.07221193010932,,,,,,,,,0,0,0,0,32.73630679352209,0.3333333333333333,2.0,1.0,,,0,0,0,0,1,1,,,,0,-1.0,0,1,long,long,5,8,2009,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,1,1
29,2009-2010,3,2009-08-09 14:00:00,SpVgg Unterhaching,Erzgebirge Aue,7,10,2,2,D,Stadion am Sportpark,2850.0,1499.263693206478,0.3333333333333333,2.0,2.0,2.0,2.0,1516.736306793522,0.82070571908667,4.0,4.0,0.5,0.0,2.14,3.24,3.35,0.4672897196261682,0.30864197530864196,0.29850746268656714,,,,,,,,,,,,,,,,,,,,,,,,,22.9,66.0,7.3,0.0,11.0,11.0,,,,,,,,,,0,0,0,0,-17.47261358704418,-0.4873723857533367,-2.0,-0.5,,,0,0,0,0,1,1,,,,0,0.0,0,0,long,long,6,8,2009,0,0,0,0,0,0,0,1,0,1,0,1,2,2,4,0,1,1,1
